container;item;scale;time
rock_001k.stl;convexstone.stl;3,111166;34,366
rock_001k.stl;cube.obj;9,399898;41,246
rock_001k.stl;dagger.stl;0,663231;3,748
rock_001k.stl;dodecahedron.stl;5,36893;31,461
rock_001k.stl;dragon.obj;18,606815;37,614
rock_001k.stl;frustum.stl;11,717003;52,581
rock_001k.stl;gem.stl;0,57908;15,364
rock_001k.stl;helmet.stl;21,804064;36,351
rock_001k.stl;oloid.stl;0,59547;17,194
rock_001k.stl;pig.obj;9,719486;48,76
rock_001k.stl;ring.obj;4,149062;21,587
rock_001k.stl;sphere.stl;22,303395;247,636
rock_001k.stl;star.obj;5,570874;4,771
rock_001k.stl;star.stl;0,575591;2,151
rock_001k.stl;stone_1.obj;2,801305;16,521
rock_001k.stl;stone_2.obj;16,908107;21,544
rock_001k.stl;stone_3.obj;5,94948;23,89
rock_001k.stl;stone_4.obj;5,50142;18,332
rock_001k.stl;stone_5.obj;2,874796;20,157
rock_001k.stl;stone_6.obj;12,513864;14,4
rock_001k.stl;stone_7.obj;10,858081;29,854
rock_001k.stl;tetrahedron.stl;17,687038;6,722
rock_001k.stl;torus.stl;8,140633;36,512
rock_001k.stl;tree.stl;1,260984;7,133
rock_002k.stl;apple.stl;1,920311;256,57
rock_002k.stl;arrow.obj;9,377858;32,007
rock_002k.stl;banana.stl;15,077116;179,653
rock_002k.stl;bobbin.stl;27,663265;509,855
rock_002k.stl;convexstone.stl;5,18029;168,07
rock_002k.stl;cube.obj;16,09099;281,54
rock_002k.stl;dagger.stl;1,07017;8,607
rock_002k.stl;dodecahedron.stl;11,232115;274,214
rock_002k.stl;dragon.obj;35,392079;314,29
rock_002k.stl;frustum.stl;24,994402;242,017
rock_002k.stl;gem.stl;1,159522;101,415
rock_002k.stl;helmet.stl;45,541889;239,296
rock_002k.stl;oloid.stl;1,196328;307,406
rock_002k.stl;pig.obj;17,026947;65,988
rock_002k.stl;ring.obj;7,500835;69,117
rock_002k.stl;sphere.stl;45,199442;1661,471
rock_002k.stl;star.obj;10,189359;16,302
rock_002k.stl;star.stl;0,996407;5,618
rock_002k.stl;stone_1.obj;5,015736;145,018
rock_002k.stl;stone_2.obj;34,161852;88,414
rock_002k.stl;stone_3.obj;10,153473;289,013
rock_002k.stl;stone_4.obj;10,28408;187,111
rock_002k.stl;stone_5.obj;4,934361;241,318
rock_002k.stl;stone_6.obj;22,897457;159,018
rock_002k.stl;stone_7.obj;22,508282;211,807
rock_002k.stl;tetrahedron.stl;39,064866;126,319
rock_002k.stl;torus.stl;14,175923;610,854
rock_002k.stl;tree.stl;2,650309;101,191
rock_004k.obj;apple.stl;0,007472;5,494
rock_004k.obj;arrow.obj;0,044123;4,085
rock_004k.obj;banana.stl;0,077203;5,263
rock_004k.obj;bobbin.stl;0,106898;14,619
rock_004k.obj;convexstone.stl;0,026226;3,867
rock_004k.obj;cube.obj;0,085062;4,74
rock_004k.obj;dagger.stl;0,005766;4,736
rock_004k.obj;dodecahedron.stl;0,043906;4,186
rock_004k.obj;dragon.obj;0,147313;24,446
rock_004k.obj;frustum.stl;0,094976;5,693
rock_004k.obj;gem.stl;0,004648;5,694
rock_004k.obj;helmet.stl;0,174343;27,429
rock_004k.obj;oloid.stl;0,004799;8,018
rock_004k.obj;pig.obj;0,083964;18,135
rock_004k.obj;ring.obj;0,036916;4,202
rock_004k.obj;sphere.stl;0,181029;28,677
rock_004k.obj;star.obj;0,049261;6,099
rock_004k.obj;star.stl;0,004631;2,856
rock_004k.obj;stone_1.obj;0,021994;9,434
rock_004k.obj;stone_2.obj;0,1398;9,741
rock_004k.obj;stone_3.obj;0,051052;6,179
rock_004k.obj;stone_4.obj;0,048269;3,716
rock_004k.obj;stone_5.obj;0,023696;4,572
rock_004k.obj;stone_6.obj;0,104588;4,702
rock_004k.obj;stone_7.obj;0,086572;7,082
rock_004k.obj;tetrahedron.stl;0,170745;3,289
rock_004k.obj;torus.stl;0,065025;4,889
rock_004k.obj;tree.stl;0,010556;10,705
rock_008k.obj;apple.stl;0,026076;9,371
rock_008k.obj;arrow.obj;0,137637;3,769
rock_008k.obj;banana.stl;0,263779;3,473
rock_008k.obj;bobbin.stl;0,381753;20,197
rock_008k.obj;convexstone.stl;0,079839;3,576
rock_008k.obj;cube.obj;0,266571;3,836
rock_008k.obj;dagger.stl;0,020043;5,855
rock_008k.obj;dodecahedron.stl;0,154691;11,05
rock_008k.obj;dragon.obj;0,521038;27,676
rock_008k.obj;frustum.stl;0,337911;16,568
rock_008k.obj;gem.stl;0,01633;5,095
rock_008k.obj;helmet.stl;0,643057;83,104
rock_008k.obj;oloid.stl;0,017434;6,209
rock_008k.obj;pig.obj;0,27772;19,204
rock_008k.obj;ring.obj;0,108833;4,714
rock_008k.obj;sphere.stl;0,620641;38,341
rock_008k.obj;star.obj;0,150026;4,094
rock_008k.obj;star.stl;0,014814;4,97
rock_008k.obj;stone_1.obj;0,077244;5,638
rock_008k.obj;stone_2.obj;0,459933;16,646
rock_008k.obj;stone_3.obj;0,157037;9,708
rock_008k.obj;stone_4.obj;0,157054;7,984
rock_008k.obj;stone_5.obj;0,076334;6,701
rock_008k.obj;stone_6.obj;0,370567;16,813
rock_008k.obj;stone_7.obj;0,300097;16,601
rock_008k.obj;tetrahedron.stl;0,552978;6,354
rock_008k.obj;torus.stl;0,19364;11,553
rock_008k.obj;tree.stl;0,03659;7,209
rock_015k.obj;apple.stl;0,355854;73,915
rock_015k.obj;arrow.obj;2,189614;35,822
rock_015k.obj;banana.stl;3,899396;20,532
rock_015k.obj;bobbin.stl;5,516821;189,171
rock_015k.obj;convexstone.stl;1,30603;33,121
rock_015k.obj;cube.obj;4,009131;34,987
rock_015k.obj;dagger.stl;0,278067;8,246
rock_015k.obj;dodecahedron.stl;2,113513;114,595
rock_015k.obj;dragon.obj;7,59022;130,159
rock_015k.obj;frustum.stl;4,911773;102,629
rock_015k.obj;gem.stl;0,227122;117,801
rock_015k.obj;helmet.stl;9,029113;393,62
rock_015k.obj;oloid.stl;0,237729;126,863
rock_015k.obj;pig.obj;4,075461;134,517
rock_015k.obj;ring.obj;1,808758;61,493
rock_015k.obj;sphere.stl;8,340892;194,871
rock_015k.obj;star.obj;2,501239;21,071
rock_015k.obj;star.stl;0,258436;6,261
rock_015k.obj;stone_1.obj;1,157705;71,709
rock_015k.obj;stone_2.obj;7,093272;155,034
rock_015k.obj;stone_3.obj;2,648794;81,543
rock_015k.obj;stone_4.obj;2,381548;55,305
rock_015k.obj;stone_5.obj;1,16195;102,928
rock_015k.obj;stone_6.obj;5,35848;37,747
rock_015k.obj;stone_7.obj;4,175734;112,125
rock_015k.obj;tetrahedron.stl;7,69711;127,685
rock_015k.obj;torus.stl;3,356267;175,684
rock_015k.obj;tree.stl;0,549395;37,618
rock_030k.stl;apple.stl;0,337843;132,583
rock_030k.stl;arrow.obj;1,846921;17,671
rock_030k.stl;banana.stl;3,081869;37,259
